,epoch,train_loss,mse_loss,var_loss,val_loss
0,0,-34.46016107632508,0.10101115153553475,-5.846516298370931,0.08707339
1,1,-45.57813860810407,0.08519412055727182,-7.382957502999251,0.084944576
2,2,-48.00905922132293,0.08236657061268342,-7.681766773330389,0.09256471
3,3,-48.59608717147172,0.08172825553609518,-7.759415324003029,0.10002514
4,4,-49.704071792476306,0.07923535372091085,-7.869653005634493,0.08103684
5,5,-50.57784151636457,0.07720382966586574,-7.98317875684602,0.23628737
6,6,-51.63669365662947,0.07360332769427483,-8.108093085925113,0.10101231
7,7,-52.45651559425362,0.07431841111186248,-8.203406198934537,0.06692271
8,8,-49.22151711512253,0.07876651730935447,-7.827646520662949,0.076682344
9,9,-50.409788883706284,0.07556901933604152,-7.944236588083601,0.07229652
10,10,-47.70296764521712,0.08023815109243283,-7.603792775010126,0.06981412
11,11,-48.69482018609821,0.08018417993989978,-7.709939163621234,0.08615499
12,12,-46.25773233908779,0.08519894659380509,-7.427763116026862,0.07355109
13,13,-46.7777162475941,0.08111770390874813,-7.52566141783883,0.55940735
14,14,-48.32650809228852,0.07883232065130723,-7.684046281900376,0.086366005
15,15,-48.55551908132086,0.0779893723226922,-7.735543925118669,0.08416882
16,16,-47.85404963268982,0.07809942318637005,-7.647793360185475,0.1724296
17,17,-47.880196566172444,0.07592586211324694,-7.646822801297058,0.11278856
18,18,-47.672946698170044,0.07532736024652698,-7.609390050080347,0.07786433
19,19,-47.15524432947618,0.08237416181913669,-7.536864747552369,0.0828854
20,20,-48.16299705692753,0.073123835780366,-7.6819978586273825,0.075338274
