,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,8.12571138767626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,45.906148292492645,-40.776318,0.066977054,-5.057322,0.37262696,-0.96457434,13.700973,18.180445,9.208308,59.085377,59.78765,59.863167,58.793007,3.6889586,0.7,-61.78493,-23.225056,4.2858373e-05,-4.2254376,2.3137662,2.4446933,1.8156395,2.3628614,1.5429687e-07,0.3,1.3617637,39.423733,39.470688,39.627644,39.082466,0.06511952,0.3953125,3.648505210876465,2.0317073543866475
2,20000,55.06054587599055,-66.6357,0.0037545569,-6.63071,1.3586895,2.8087502,30.145927,103.56839,7.8161807,86.85713,87.07648,87.48608,86.147865,10.073541,0.7,-90.51553,-45.370518,0.0037923157,-8.555693,0.36496094,0.7949611,0.18091667,1.1422023,4.1953174e-07,0.3,1.6491001,64.76953,64.848495,64.5793,64.29988,0.18674923,0.5328125,4.382112503051758,2.6574309865633645
3,30000,60.38496230922459,-77.344864,0.00020227136,-9.173777,1.6073296,7.649873,47.96001,131.92099,8.626001,97.949814,97.70264,97.97077,97.83641,4.4721375,0.7,-103.17435,-60.937424,0.0026696739,-5.159991,-6.9599514,-6.4966455,1.3900038,-5.8298626,8.998148e-07,0.3,1.8711462,75.29412,75.27736,75.46109,75.29686,0.14989123,0.3921875,4.5352184772491455,3.288202464580536
4,40000,53.102421760727616,-87.44682,1.0715165e-05,-10.689453,0.7759738,-0.504284,63.84217,11.859102,9.119022,104.44891,104.60673,104.638275,104.96442,5.834652,0.7,-113.13205,-84.24968,0.00017429248,-4.913597,1.2378067,1.5573437,0.7408031,2.220811,5.428301e-06,0.3,2.0269608,85.32343,85.35029,85.164154,85.28102,0.1638697,0.46718746,3.956773519515991,3.9106863538424173
5,50000,42.013621143461435,-87.085625,5.571753e-07,-15.121913,1.332906,-0.32048464,200.1186,37.159473,15.024913,109.88231,109.49424,109.70356,109.77017,5.7824526,0.7,-114.71649,-98.85557,0.0020118107,-6.3038282,2.879938,3.055227,1.3627261,1.9747052,4.303729e-06,0.3,1.6706889,84.99194,85.08236,84.65469,85.042465,0.16387135,0.4265625,3.4441981315612793,4.5243827621142065
6,60000,46.31837681030901,-88.514694,2.9100278e-08,-14.353651,1.4222784,-0.075117946,168.85748,23.620716,8.907517,111.15816,110.99788,110.57357,110.89945,6.866064,0.7,-116.30456,-148.81433,0.0001473889,-3.6404824,2.0104985,2.6072025,1.1978167,1.0664747,2.2131019e-06,0.3,1.867338,86.47521,86.41385,86.35015,86.35866,0.14969617,0.48125,3.3861961364746094,5.135647781689962
7,70000,47.78061287759064,-91.09625,1.5326516e-09,-18.807695,0.81944215,-0.6104311,219.61237,9.72354,9.555697,111.671364,111.63227,111.923584,111.01346,3.3085282,0.7,-119.61247,-191.28078,0.00044879038,-7.1905675,0.2962886,0.2613145,1.176759,-0.9587687,8.6217185e-08,0.3,1.9145603,89.166306,89.18833,88.80052,88.88716,0.12134653,0.4734375,3.425837755203247,5.749981013933818
8,80000,47.87396258585881,-90.04382,8.0356145e-11,-20.365051,1.6995393,0.5038141,179.20828,92.80406,8.476105,111.550514,111.744484,112.47781,112.522606,3.3928978,0.7,-118.23666,-200.86934,0.0006310074,-4.574101,1.4799662,0.92768157,3.0317996,2.8051367,8.250936e-08,0.3,1.9547709,87.967606,88.0085,88.457,88.55295,0.13363066,0.35625,3.5078537464141846,6.365736949443817
9,90000,44.54305682449186,-92.34481,4.192942e-12,-25.851746,1.0364659,1.613378,275.19995,26.115837,8.464365,111.181305,111.30183,111.81058,111.26157,7.440381,0.7,-116.73802,-163.09062,8.500327e-05,-5.9497433,0.53660434,1.4110882,1.3037826,0.23011005,1.6171835e-07,0.3,1.8776758,90.21384,90.392044,90.06421,90.327255,0.1525202,0.39999998,3.2232651710510254,6.979686550299326
10,100000,48.19651426300931,-89.31575,2.1987994e-13,-27.582825,1.0738423,0.7264172,276.636,20.256344,12.686415,112.44016,112.2088,112.16342,111.87799,2.0535357,0.7,-118.81765,-292.34402,0.0015851464,-3.2918324,0.4735702,1.0765961,1.3275834,0.6216133,2.7383678e-06,0.3,1.8862262,87.23009,87.2019,86.76799,87.08545,0.1157766,0.39999998,3.4009673595428467,7.5963273247083025
