,epoch,train_loss,mse_loss,var_loss,val_loss
0,0,-24.301957304799625,0.1303992494564758,-4.493175609983155,0.08161679
1,1,-33.95955855555169,0.020450263739926026,-5.848384247433325,0.04632052
2,2,-36.222052970041155,0.016899654684167965,-6.171777229871809,0.03938569
3,3,-37.504638529218745,0.015997424297512934,-6.354433203582684,0.03455843
4,4,-38.493407988893814,0.014161737456649743,-6.494978649152238,0.031806387
5,5,-39.27745447691923,0.01339764528383364,-6.606184883023888,0.027359687
6,6,-39.92922604997212,0.012745320431812904,-6.698629041142592,0.03162764
7,7,-40.48526897390931,0.012128980600132412,-6.776903276981527,0.024902008
8,8,-41.0733595743436,0.011696334701830687,-6.86016200134226,0.025582245
9,9,-41.497047018560565,0.01121770329971067,-6.920519208562547,0.0252951
10,10,-41.99422823963205,0.010968039391222978,-6.989751433857233,0.021855969
11,11,-42.35942538184409,0.010533971995800757,-7.042380732902582,0.022888996
12,12,-42.72556770514257,0.010884283923237405,-7.093170790321832,0.027785107
13,13,-43.1259424079279,0.010260707661162436,-7.150033219383864,0.023577597
14,14,-43.39754046663241,0.009983074567406044,-7.188221976376962,0.021500392
15,15,-43.789100355736714,0.009711860784418172,-7.243357799931836,0.024086613
16,16,-43.97210690989998,0.010174307650303194,-7.268801084709957,0.023016553
17,17,-44.39525018913159,0.009559786846831356,-7.327550778724639,0.020169074
18,18,-44.67592279955467,0.009661178197735808,-7.367477127360508,0.02161986
19,19,-45.005341403479406,0.009431926253026131,-7.413192909203207,0.020642456
20,20,-45.0878996799698,0.00972795622231917,-7.424646601296853,0.020157538
21,21,-45.38313505121393,0.009367246630164847,-7.465793771649986,0.019123217
22,22,-45.61707533467137,0.009379794282210108,-7.498182097700565,0.02015501
23,23,-45.87999837196145,0.009264630917266906,-7.534788430477521,0.018738203
24,24,-46.08635710682682,0.00898004057730392,-7.563427173819848,0.027147269
25,25,-46.340176336513544,0.00895173833744049,-7.598519820604265,0.019500857
26,26,-46.51510739178391,0.009662445583144554,-7.623952307069277,0.022844007
27,27,-46.76350490498987,0.008897849853925685,-7.656837837913268,0.023107199
28,28,-47.04037793378652,0.008942988064616348,-7.6955165975335715,0.026396058
29,29,-47.20872251834435,0.008756201574482472,-7.718954875972701,0.025571462
30,30,-47.39572997320266,0.008674150102267594,-7.7451765761859175,0.019107975
31,31,-47.56205440801617,0.008785916558444195,-7.766954518993448,0.019175211
32,32,-47.663880174451236,0.008641258424425625,-7.78139919400462,0.019732688
33,33,-47.891071561454,0.00836960562618351,-7.812249644202475,0.019006768
34,34,-47.922938226419454,0.008618995263969129,-7.816558572939957,0.018697111
35,35,-48.10597633476336,0.008498501721682802,-7.841175497812267,0.017017124
36,36,-48.32326235089983,0.008350018330649174,-7.871775940461682,0.017353868
37,37,-48.36640468937023,0.008502188935976158,-7.876655483714789,0.016891602
38,38,-48.468805624091104,0.008383460621268529,-7.891132226024848,0.018623969
39,39,-48.620590582150605,0.008257910781819566,-7.911114942706643,0.016766032
40,40,-48.61611713583178,0.008390851214291397,-7.909525139608245,0.018266764
41,41,-48.7626556382663,0.008127735727167771,-7.929690884754031,0.023470188
42,42,-48.86601277365201,0.008189271320528631,-7.943561980566376,0.016945641
43,43,-49.05190841801171,0.00789219815419952,-7.968955564943159,0.018630823
44,44,-49.135608071866244,0.008039312609389433,-7.980594988565267,0.014977334
45,45,-49.18226472388637,0.008083219781920977,-7.98648682835186,0.018922767
46,46,-49.19510829917639,0.008513046968337842,-7.987696754883042,0.023882467
47,47,-49.31543101928742,0.008242005813063275,-8.003365117323819,0.01892225
48,48,-49.26758125159064,0.008437823131764848,-7.996430358654718,0.016791819
49,49,-49.27829563444939,0.009048659026352341,-7.999105765582612,0.016950335
50,50,-49.39501856671604,0.008910861009838905,-8.014170817830301,0.017167082
51,51,-49.50450464608013,0.00823747533112986,-8.028838828113509,0.016827336
52,52,-49.570195673909,0.008406867009952017,-8.03782278891676,0.017248785
53,53,-49.579195299010344,0.008338963434073155,-8.03829569513013,0.016746385
54,54,-49.882940729705936,0.008084951390116524,-8.07984037157418,0.01562458
