,epoch,train_loss,mse_loss,var_loss,val_loss
0,0,-36.33283508295197,0.0730975676604159,-6.102669707027035,0.06347962
1,1,-44.81412728824971,0.03309239826852545,-7.221587684213745,0.037658215
2,2,-47.361506483693056,0.02590912224435176,-7.548413689030377,0.037206195
3,3,-48.35225939121305,0.02434670466890628,-7.682285731623632,0.022871455
4,4,-49.18169391846311,0.022085163846185845,-7.81155063239684,0.02414705
5,5,-49.459636458328795,0.02287813339201159,-7.824755392336204,0.02464914
6,6,-50.723800228989646,0.019826734319592462,-7.978611567684336,0.021908049
7,7,-51.04997479816895,0.01933918842950867,-8.035892552717378,0.019596752
8,8,-50.97896015718116,0.019390997836967894,-8.026557473600775,0.019603966
9,9,-51.62392949342234,0.018599928388160925,-8.100552696125355,0.01931016
10,10,-51.37652943581034,0.018781304938981877,-8.078808250819675,0.037718426
11,11,-51.9060879457071,0.017849967567930787,-8.142764309425038,0.07388102
12,12,-51.32601590432982,0.019009759126367976,-8.075997645625417,0.021296417
13,13,-51.85902190800779,0.01743103458650225,-8.137580543694783,0.026654664
14,14,-52.117150857088234,0.018205231671799053,-8.162844561271786,0.020291932
15,15,-52.08303765122688,0.01818846601233133,-8.161648515403641,0.017605992
16,16,-51.953871400336546,0.017941915067987743,-8.15236793609633,0.017577052
17,17,-52.50878417985533,0.01723051031795475,-8.213535798077258,0.044935696
18,18,-52.305704688433536,0.017364308376378125,-8.207320444702361,0.02668617
19,19,-52.87731015015833,0.01676318004817025,-8.26145110737463,0.022764316
20,20,-53.067604510310275,0.017080447071942444,-8.280303166643186,0.017405484
21,21,-52.98151403653202,0.016385088340542232,-8.275138530054942,0.02010472
22,22,-52.81311060195137,0.017508071527419147,-8.259705571345908,0.021305881
23,23,-52.30596375021135,0.018421253671495563,-8.191557725579102,0.01992753
24,24,-53.37034257327054,0.017681315348929038,-8.306873539836758,0.049946938
25,25,-52.841637625210524,0.019832263218492508,-8.25483060111417,0.028992007
26,26,-52.22828767709357,0.01973406154786258,-8.176659795253173,0.039637733
27,27,-52.61785286134321,0.018543379654139897,-8.235494779997484,0.070082575
28,28,-52.413019750429235,0.01876488337271575,-8.19031764144236,0.020126304
29,29,-52.86007422616023,0.01717469634923999,-8.249419136015279,0.025909511
30,30,-53.225748852419805,0.017195161889012187,-8.311696826301006,0.023762276
