,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.2547137614901165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-2.0242624474970907,-36.71195,0.09223407,-1.2298625,-0.00067642,0.9499016,1.0,0.8494525,-14.106767,21.197704,23.546476,13.077248,43.97387,44.12347,43.840908,43.297646,2.1169457,0.7,-45.683292,-25.306946,0.0001200362,-7.4341288,13.446371,14.078216,13.632499,13.88354,7.0549436e-07,0.3,3.6598263,36.137695,36.14705,36.15127,35.45636,0.10428381,0.5171875,5.946211099624634,3.0781466484069826
2,20000,-2.519703227082792,-59.35187,0.1125191,-0.014560193,-0.00028836096,1.4578557,1.0,1.7231029,1.2733103,20.38325,67.221,14.0683975,68.421776,68.48176,68.339325,67.99696,1.8678585,0.7,-69.25322,-20.272676,0.00074859604,-16.024635,-3.1911151,-3.1409416,-2.885849,-2.4854872,2.263114e-08,0.3,2.8099668,58.700768,58.581566,58.55778,58.263054,0.15945166,0.46875003,5.999467134475708,4.117427829901377
3,30000,-1.1015827905021767,-72.978615,0.108341426,-0.17284882,-0.0037208514,1.8696072,1.0,1.470493,-48.39374,21.930159,25.152,14.149897,80.38473,80.437775,80.65816,80.64382,1.8678315,0.7,-81.22159,-24.79577,0.0008833416,-10.383454,45.674923,45.732613,47.74834,46.934414,3.7222637e-07,0.3,3.2817662,72.351974,72.42668,72.452126,72.54975,0.22769809,0.3734375,5.772143363952637,5.156570283571879
4,40000,-0.10336025503092368,-79.11029,0.094492584,-0.58562607,-0.0034484628,2.1552618,1.0,2.2439382,0.5960261,21.196856,40.30919,14.524581,88.595795,88.48033,88.98459,88.134285,3.1212034,0.7,-89.01109,-27.80553,3.343739e-06,-14.117548,-1.2392215,0.052775115,-2.080841,-1.0855622,1.1444092e-06,0.3,3.6797366,78.55608,78.56861,78.87384,78.59763,0.17049368,0.47812498,5.721249103546143,6.195896852016449
5,50000,-0.1836822223051661,-85.43677,0.08304301,-0.3489182,-0.004132025,2.153242,1.0,1.397259,-60.331993,33.35269,32.081654,16.179361,93.187225,92.823,93.077614,93.3516,3.5921278,0.7,-94.02803,-31.079336,0.0003842623,-8.008699,59.95525,60.405827,59.87148,59.87361,6.1656287e-06,0.3,4.6383777,84.89967,84.88631,84.594795,84.61628,0.11274435,0.4671875,5.610581159591675,7.2315266569455465
6,60000,0.06441203921398259,-86.50377,0.07228936,-0.03237751,-0.0009594854,2.1621232,1.0,1.849652,0.6355908,50.21351,45.862206,15.868681,93.91133,94.42781,95.43838,94.06107,1.2587417,0.7,-95.103775,-36.030514,4.6937086e-05,-6.572971,-0.45062357,-1.0468144,-0.095705226,-0.20201725,2.3905887e-08,0.3,4.465966,85.97109,85.98009,86.16678,86.04798,0.097913414,0.47187498,5.772352933883667,8.268006042639415
7,70000,2.0276163700534946,-87.33689,0.06246271,-0.23751394,-0.0037632168,2.2618341,1.0,1.4369338,3.4834058,129.11716,37.230095,13.327383,95.51026,95.18073,95.5596,95.1427,1.2381928,0.7,-95.442024,-29.346539,0.00076505827,-16.826519,-3.1305258,-2.795801,-1.8342,-2.7954478,8.659245e-06,0.3,4.815622,86.84914,86.805916,86.797676,86.87012,0.115807846,0.44374996,5.615397930145264,9.302217102050781
8,80000,2.116107858353547,-87.89746,0.05412438,-0.89475214,-0.0062142983,2.246352,1.0,1.4870083,6.569954,47.748264,17.525562,15.488219,95.37687,94.94298,95.3632,95.08664,11.132022,0.7,-95.74885,-29.96942,0.0028654195,-14.860314,-6.8702593,-6.884813,-7.2106247,-7.4015274,1.1187699e-05,0.3,4.6725335,87.45148,87.45204,86.96557,87.14924,0.13968578,0.46406248,5.803997278213501,10.343241333961487
9,90000,16.063772699849686,-88.77625,0.052057955,-1.0831509,-0.0047180685,2.4406877,1.0,1.3788731,2.5570922,26.642494,51.846127,13.978113,96.68756,96.50484,96.665596,96.56683,1.0080005,0.7,-97.19997,-31.72368,0.0010831228,-13.010546,-1.1138314,-2.1923013,-1.9946011,-1.1738298,7.359631e-06,0.3,5.011813,88.32423,88.39975,88.13421,88.253914,0.095330834,0.45156246,5.887564420700073,11.377700058619181
10,100000,16.56806584620525,-88.59365,0.048087798,0.24638945,-0.0072410866,2.5973835,1.0,2.146619,6.8087387,29.132193,80.6097,15.348319,96.344864,96.57263,96.11204,96.02055,2.7607353,0.7,-96.97386,-29.283728,0.0030795273,-8.563244,-8.944422,-7.0464892,-9.815996,-8.415159,1.174165e-07,0.3,5.2393827,88.11296,88.13429,87.77646,88.00193,0.10822088,0.41875,5.864144802093506,12.406869784990947
11,110000,38.08626586791318,-89.11995,0.047740657,-0.07464677,-0.0058080507,2.801257,1.0,0.8529021,6.3858037,23.66261,18.646404,14.658074,96.59159,96.740906,96.338936,96.44878,3.496922,0.7,-96.98843,-29.206814,0.00074120355,-17.983164,-6.209955,-6.977441,-6.440975,-7.78267,4.8409566e-07,0.3,5.3424706,88.67064,88.69585,88.587845,88.492065,0.08036959,0.4984375,5.786863327026367,13.44447584549586
12,120000,45.27190514599211,-89.56317,0.045687977,-0.6259912,-0.0035458684,2.5846322,1.0,0.7163074,-3.1372507,31.377728,12.547035,13.69466,95.98432,95.78327,96.25706,97.37401,0.61676073,0.7,-96.97967,-32.45479,0.0012975757,-6.386284,3.2683072,2.7691731,1.5715826,1.2640734,1.0958872e-06,0.3,5.7384443,89.0717,89.132225,89.12699,89.09639,0.06544535,0.45156246,6.317581415176392,14.490091566244761
13,130000,45.13081207718502,-90.29489,0.04652782,0.7509901,-0.0065045566,2.8122742,1.0,1.3621426,-68.9898,22.98045,41.816895,15.334028,96.91523,97.152016,97.70492,96.48345,1.556629,0.7,-98.061134,-32.42744,0.00069531176,-4.747394,69.72092,69.55238,69.54525,68.843094,2.5566553e-07,0.3,6.2886095,89.83271,89.80893,90.20712,89.88989,0.09767288,0.521875,5.897181510925293,15.532254644234975
14,140000,51.763452981676124,-89.660095,0.045075152,-0.47661504,-0.006582433,2.5710695,1.0,0.8471792,-1.2762176,37.735355,17.131418,15.298032,97.14686,97.113686,96.96269,97.05994,1.9067419,0.7,-97.65198,-31.78113,0.00047945074,-10.114072,1.7449076,0.9761207,1.8786678,0.78974026,1.0300835e-06,0.3,5.79385,89.16202,89.12916,89.19603,89.193054,0.07209897,0.42031246,5.844217300415039,16.56950589021047
