,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,3.4354914391799345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.9265568496661301,-23.851042,0.058260977,-13.840464,2.9024913,5.048609,18.046303,152.93173,1.6945891,44.42323,45.08062,47.714443,44.565716,4.8791094,0.7,-45.194775,-37.39576,0.0014933691,-258.8977,-5.310412,-5.392908,-5.7218184,-5.031719,1.8161883e-08,0.3,-15.3671665,23.308542,23.414171,23.753647,23.312845,0.11948747,0.4734375,0.8051514625549316,1.9035005450248719
2,20000,0.1291153451519854,-39.3432,0.032353975,-0.11065966,3.657539,2.2447026,49.50728,116.521736,4.983217,70.70288,70.7868,70.555984,70.47489,7.459163,0.7,-70.94388,-52.93784,0.00066819414,-188.921,-3.7034142,-3.4996536,-3.1510596,-6.5173016,1.0064471e-05,0.3,-33.775627,38.483856,38.490402,38.761505,38.154003,0.25878936,0.465625,0.2655186653137207,2.486458738644918
3,30000,0.14772800814398815,-45.479073,0.042519435,0.39165473,4.6542172,3.9830291,41.191647,103.30699,9.668601,82.07339,82.33703,83.16664,82.453514,10.967834,0.7,-82.52497,-26.229082,0.001972213,-192.02515,-6.640458,-6.074697,-3.61025,-7.071857,2.0444393e-06,0.3,-30.92278,44.283695,44.332554,44.5264,44.437138,0.40245193,0.440625,0.27329301834106445,3.0756739536921183
4,40000,0.08357986991994656,-49.462418,0.045354098,-0.9013954,4.4667063,7.2158737,59.719757,77.8353,6.8995643,95.958916,94.658005,94.55165,93.39354,13.424841,0.7,-94.3576,-43.55626,0.00020047848,-169.26941,-11.287705,-9.398146,-7.062667,-9.598077,4.6824975e-06,0.3,-31.617632,48.150963,48.23571,48.50878,48.269516,0.501212,0.440625,0.2578623294830322,3.662700188159943
5,50000,9.857635246829016,-54.358154,0.045943946,-1.0337151,5.669757,8.746315,40.269108,174.56573,5.4688168,101.64443,101.13641,101.41767,101.078545,58.230965,0.7,-102.147194,-35.419273,0.009455644,-224.4508,-8.200443,-10.217259,-8.986763,-9.190617,2.7701148e-05,0.3,-32.41327,52.988144,53.083588,53.07041,53.068,0.7691959,0.421875,1.7443060874938965,4.275965559482574
6,60000,15.040064757764792,-55.675705,0.046360746,0.29843196,5.4394236,0.6252446,41.95807,86.833466,12.082123,99.0158,99.97049,99.42709,99.67778,25.388674,0.7,-98.983604,-23.382423,0.0042424537,-210.24767,0.6618968,-3.5702612,0.1215946,-6.478339,1.1221666e-06,0.3,-38.97638,54.32965,54.20683,54.569527,54.58612,0.51646316,0.3953125,2.177678346633911,4.8957845648129785
7,70000,39.67160070064674,-57.56822,0.047420822,0.7034056,5.6061916,5.706753,41.24193,98.22206,15.225063,103.04394,103.38309,102.069115,102.354385,8.644609,0.7,-103.01621,-32.737892,0.004842217,-267.8686,-8.482344,-7.684943,-11.213474,-10.810814,6.593943e-06,0.3,-32.953705,56.271004,56.317192,55.342155,55.574547,0.53612727,0.525,4.446879863739014,5.551275849342346
8,80000,67.64056275627966,-54.841663,0.048199225,-0.0005827546,4.6306653,7.392471,44.526546,66.135704,11.589324,96.271675,96.7256,96.12953,96.93671,6.53016,0.7,-97.67435,-26.55429,0.003728185,-242.31934,-6.527369,-4.4047194,-4.25879,-5.2056456,8.451753e-07,0.3,-31.105595,53.644012,53.68147,53.422028,53.331203,0.46258408,0.5234375,6.606350421905518,6.245300809542338
9,90000,72.64884025655526,-54.585026,0.05033195,-0.6169403,6.3202043,2.9511275,51.29881,189.82312,9.666702,101.227196,101.091515,100.79369,101.270096,21.646687,0.7,-100.55217,-31.031643,0.00042472366,-195.57677,-1.2063897,-1.9756514,-2.4760711,-3.4730709,5.7935717e-06,0.3,-35.64779,53.225357,53.20625,53.158066,53.099545,0.6620463,0.4734375,7.182644367218018,6.945993681748708
