,epoch,train_loss,mse_loss,var_loss,val_loss
0,0,-44.317255425774036,0.022092133556725457,-7.246486015864657,0.013493385
1,1,-55.3227205562789,0.0034276120640700453,-8.697010801075407,0.0030324277
2,2,-57.940122577714625,0.002634318015867397,-9.013732605592558,0.001982051
3,3,-58.80875195430179,0.002721308053306166,-9.111397621794517,0.0012719154
4,4,-60.17711578096662,0.002270992687741496,-9.277832363209615,0.0018911595
5,5,-60.495185000062236,0.002710920639938251,-9.306774039939818,0.032896318
6,6,-61.405062335865345,0.0022378686187282328,-9.409647817197053,0.009839319
7,7,-61.850885526487296,0.0022883984252555774,-9.452877421556792,0.0007306295
8,8,-62.38679465694704,0.0022216078163536834,-9.516500297046843,0.0054742116
9,9,-62.21745994026863,0.002352753685745653,-9.494852911117901,0.0006797046
10,10,-62.715127112702554,0.0024640944788222683,-9.542078897819756,0.00055589026
11,11,-62.96139111331284,0.0022832419682056963,-9.570224447279983,0.0005406165
12,12,-63.28320093431334,0.0023049534896998625,-9.60136964503776,0.0007568045
13,13,-63.49445840685511,0.002300715162663122,-9.618313909811016,0.00040339798
14,14,-63.319526026708,0.0022326953954692856,-9.598067409750344,0.00039687415
15,15,-63.59432506561279,0.002478565567981448,-9.622902754917895,0.00035735135
16,16,-63.63064817661578,0.002340089476118906,-9.6220027689608,0.0013786183
17,17,-63.67911562021228,0.0022254405470030518,-9.62833717570295,0.00032788006
18,18,-63.72089551349111,0.0021582100251116214,-9.627630583741404,0.0005669984
19,19,-64.08578154956825,0.0019756676223980367,-9.657294569795424,0.0011767808
20,20,-63.671410728438794,0.0023263489473914207,-9.617010384119322,0.0003139934
21,21,-63.73408449362524,0.0023414190309192402,-9.618942535935474,0.0005586892
22,22,-63.74180476463113,0.0021388624184700447,-9.623588050867953,0.000465142
23,23,-64.04798294150311,0.002114890426463289,-9.649984102811873,0.022248546
24,24,-63.67818495847177,0.0022294189048556873,-9.608766599471524,0.0017145756
25,25,-63.727889176481256,0.002455273861695322,-9.618912552701268,0.016284397
26,26,-63.316297513357604,0.0034413959872094226,-9.556411526711585,0.00067654776
27,27,-63.21920151641403,0.0030512880390161923,-9.557615896929866,0.0011432001
28,28,-63.887716904683636,0.002614372869845338,-9.611799537765313,0.0006286815
29,29,-63.59007365659157,0.002457740970140411,-9.591303778731305,0.013418971
30,30,-64.06097642728754,0.002556779033590789,-9.627226874448251,0.0028583393
