,epoch,train_loss,mse_loss,var_loss,val_loss
0,0,-43.60509052264888,0.022080221448761775,-7.189510291199321,0.015504044
1,1,-55.83013919865863,0.0029037706632269295,-8.756949485952562,0.014637399
2,2,-57.811466053159094,0.0025477408154727915,-8.99610281780393,0.0028557433
3,3,-59.13824320234374,0.0023077966975986737,-9.150159083044553,0.0023782484
4,4,-60.04881226893044,0.0022793481239920537,-9.258648702076503,0.0024411548
5,5,-60.806874705644375,0.0020082989524500146,-9.351042504142777,0.0024780512
6,6,-61.27003603494932,0.0020751712486297255,-9.399389746273032,0.0024530713
7,7,-61.95906649267698,0.00202232343364274,-9.473049732468883,0.0021557962
8,8,-62.218896165891216,0.0019989221655161062,-9.504232407603451,0.0021529773
9,9,-62.636605612239485,0.0019913927886971777,-9.547577783681344,0.0018351177
10,10,-63.025133647286864,0.0018461791260465804,-9.585120815668047,0.0018278466
11,11,-63.302653593059404,0.0018054425382722922,-9.61683834413564,0.0019634583
12,12,-63.733161254946,0.0016997231452467146,-9.659409720458353,0.0026666957
13,13,-63.72952716641792,0.0016853637932717808,-9.657496096184534,0.0029454266
14,14,-64.01087792615712,0.0016515970357928913,-9.680822769307202,0.0017120693
15,15,-63.98176976810084,0.0017978401105112735,-9.666310067996228,0.0017454069
16,16,-63.95147179964907,0.001789449950884692,-9.67007179067742,0.0056199343
17,17,-64.0369328243145,0.0017321996420262321,-9.680647500553487,0.0016680819
18,18,-64.40538818051355,0.001656660100884089,-9.709983352301776,0.0020291533
19,19,-63.97351908733139,0.0017697255910095779,-9.662566582115048,0.0017025261
20,20,-63.893007302136155,0.0020595002555935135,-9.64738859301028,0.0016704927
21,21,-64.41175916821814,0.001753567245406892,-9.703368618374778,0.0015462547
22,22,-63.459859077974876,0.0020544369486219178,-9.624528216525881,0.008503291
23,23,-64.23423863641963,0.0018288620112346602,-9.678835303393457,0.0018540681
24,24,-64.46214794076008,0.0017249113618415717,-9.70295474395989,0.0017202025
25,25,-64.56497208376109,0.0017406523106135705,-9.710385753254466,0.0016019947
26,26,-64.37693038391524,0.0019378279857300718,-9.690502541159004,0.0018037438
27,27,-64.78733793598278,0.0018376031690407614,-9.719142877043652,0.0064436113
28,28,-64.40282516992858,0.0018375734921043639,-9.689106603586897,0.002369964
29,29,-64.5090691080745,0.0018937955971107335,-9.695931514351017,0.0024547293
30,30,-64.57090337133309,0.0018318719006212565,-9.70341780491744,0.002409431
31,31,-63.78388156308397,0.0018964881501967697,-9.63305512002783,0.0031594017
