,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.860628818486789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,68.10798664673129,-36.83159,0.0832195,-3.8790233,0.6534896,-8.805544,34.728554,28.808578,17.195631,47.217583,47.33658,46.649784,46.247726,1.2831728,0.7,-56.47065,-34.699875,0.0005857423,-5.3428593,6.0807357,6.102276,5.865919,5.397296,7.6065774e-08,0.3,4.856969,32.371014,32.342957,32.28096,31.810955,0.038048305,0.45937496,7.140223741531372,2.188470999399821
2,20000,79.96299727264642,-56.213455,0.00577791,-4.63426,2.1187599,-16.025394,47.710274,146.70267,16.510654,70.21343,69.87162,71.17346,70.96423,4.711494,0.7,-79.56472,-59.90567,0.001199092,-5.841628,8.100057,7.7080035,10.631218,9.96356,1.4941179e-07,0.3,5.1168594,51.188206,51.122307,51.681396,51.348946,0.10094884,0.37812498,8.988357543945312,2.9305010120073955
3,30000,59.867544874321844,-68.5659,0.00038052903,-8.431773,1.3664914,-11.635398,73.8613,42.451355,16.562944,86.30635,86.41129,86.51063,85.87854,4.3954782,0.7,-98.64506,-70.01199,7.740627e-05,-4.1363115,13.626744,13.510818,12.178917,12.724229,3.6714483e-09,0.3,4.9124317,63.688316,63.674934,63.84556,63.465443,0.14380062,0.45,6.602670431137085,3.6291364312171934
4,40000,79.95525026882736,-74.24308,2.5741314e-05,-8.697475,2.0985878,2.0655432,126.250565,89.374054,18.424843,97.34656,97.071945,95.0866,97.39845,14.366582,0.7,-110.57224,-119.79444,0.0044044037,-4.127396,-1.5377164,-0.8631129,1.5892117,1.1262884,1.7968704e-08,0.3,5.3597813,68.87765,68.87361,68.48129,68.50612,0.17960791,0.453125,8.920822381973267,4.369983279705048
5,50000,74.48449574948947,-81.11566,1.8512018e-06,-14.749018,1.8384225,-2.8714142,142.25397,97.41034,15.825471,99.57791,99.35785,100.316246,99.59334,4.1628523,0.7,-113.74887,-138.2243,0.0012245416,-5.092016,-2.4993482,-3.3919106,0.7577127,0.45519975,3.0656986e-06,0.3,5.0471597,76.08988,76.15183,76.13588,76.03859,0.16088623,0.4765625,8.148416757583618,5.097179782390595
6,60000,65.05734913399243,-84.15904,1.361851e-07,-2.6137092,1.529115,-6.876711,177.80093,50.475555,18.249025,101.47219,101.26481,101.63196,102.01868,5.5390773,0.7,-116.01098,-167.83899,0.0017887829,-5.620129,0.5219437,1.8637702,1.2980019,1.2618513,7.699058e-06,0.3,5.5832644,78.49904,78.513275,78.31912,78.432495,0.1218901,0.4140625,7.281557083129883,5.808197363217672
7,70000,75.35313840344328,-83.71834,1.0627617e-08,-3.658115,2.075668,8.496665,243.70592,75.6968,18.462893,104.529915,104.08554,104.88963,104.63563,4.048428,0.7,-118.30043,-182.40211,0.0014217771,-4.0276732,-4.7960615,-4.8158827,-1.7054532,-5.2908187,3.7757857e-06,0.3,5.473559,78.27673,78.244934,78.53104,78.53134,0.17973956,0.415625,8.213080167770386,6.539237630367279
8,80000,65.2692999728052,-86.455696,8.4557794e-10,-3.7263248,1.8939167,-23.6031,229.76021,56.177742,19.709103,105.210304,104.229576,104.47078,104.536606,4.4686627,0.7,-117.315704,-201.12419,0.00011057971,-8.744619,14.851973,12.516838,12.546394,14.080155,6.366463e-07,0.3,5.655611,80.83684,80.798874,80.96562,81.1609,0.18145335,0.3796875,6.929469347000122,7.244371338685354
9,90000,64.34682262970438,-87.53626,6.8803865e-11,-11.515898,1.9107819,-8.470829,261.42105,195.08997,20.624134,103.92096,103.363174,103.14943,103.411476,9.211986,0.7,-115.27054,-254.12863,0.0004835451,-7.29967,6.126143,5.5416484,4.6418133,4.5342093,6.885966e-09,0.3,5.382083,82.26683,82.22427,82.470764,82.462814,0.21609835,0.403125,6.5789806842803955,7.9438388029734295
10,100000,64.36461150850987,-87.07562,5.8646534e-12,4.107666,2.565522,-16.426455,436.15457,93.761444,19.235083,104.13534,102.587975,102.52544,102.72089,2.4813473,0.7,-118.85205,-267.54935,0.00026601047,-7.834774,14.302695,16.326273,12.284301,15.777882,4.2808097e-07,0.3,5.5811286,81.521576,81.54356,81.782,81.91591,0.11380599,0.39218748,7.195805788040161,8.65704261859258
11,110000,70.19135585501456,-87.1124,5.107109e-13,-21.841831,1.1496882,-16.35462,437.96774,61.119667,17.67506,102.822624,103.313995,102.8127,103.09809,3.6353703,0.7,-117.520874,-277.91803,0.0003175515,-3.8922777,19.213724,19.639862,20.851109,20.376568,3.3347578e-06,0.3,5.3350224,81.806076,81.78639,81.96055,81.91104,0.12567452,0.375,7.809850215911865,9.372767984867096
12,120000,76.70680761475013,-82.80533,4.5544823e-14,-21.892996,5.493797,-15.337373,279.09705,929.5938,14.781609,103.16564,103.669,104.242065,104.794716,8.454059,0.7,-115.18925,-343.5936,0.00068749796,-3.0321035,10.590121,12.481512,12.337216,12.37635,7.21977e-06,0.3,4.9566507,77.847,77.81993,78.11998,78.160164,0.16710207,0.4125,7.687624454498291,10.096261632442474
