,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,5.164250612917587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,18.04430703411592,-30.062675,0.05744402,-8.025402,1.2666059,0.5520963,19.210712,86.55617,10.4027,52.798462,53.02039,54.10902,51.724148,4.282707,0.7,-52.848675,-23.938667,0.0001755829,-8.775578,0.0503224,0.38797325,0.14488232,0.82488537,9.538081e-07,0.3,-0.5365633,29.784653,29.830822,29.928646,29.603844,0.14105263,0.4265625,1.4623279571533203,1.8734177907307943
2,20000,19.20294789174579,-48.073456,0.0037514877,-7.555913,1.6918141,-1.8401366,95.340935,104.90373,16.842201,78.946045,79.097496,78.97517,79.08823,8.015905,0.7,-79.65867,-50.51335,0.0003359316,-10.577205,-0.16629647,-0.6561087,-0.25736013,-0.49307936,2.5205993e-05,0.3,-0.74924505,47.51539,47.562958,47.683483,47.267418,0.3906083,0.5359375,1.623429775238037,2.4690889000892637
3,30000,23.404062255077797,-55.58072,0.00024293427,-5.970592,2.899466,0.58619326,209.52106,97.14914,7.6757326,90.758286,90.40676,90.08625,89.488556,14.489461,0.7,-90.7138,-71.88088,0.000100416364,-9.296369,-2.3053262,-2.5960474,-3.10439,-2.7196567,3.6714483e-09,0.3,-1.4188498,54.667103,54.625195,54.449535,54.209736,0.53695863,0.46718752,1.8377971649169922,3.070458551247915
4,40000,23.249395124172953,-61.974075,1.5208565e-05,-8.1048765,2.7355833,1.2437776,263.59018,139.71388,8.307465,93.34444,93.124146,93.02694,92.89832,16.203321,0.7,-93.83987,-85.62842,0.00087795925,-10.413472,-1.8314413,-1.7876956,-2.4087353,-2.1535401,1.5693438e-05,0.3,-1.0379411,60.963806,60.876297,60.657623,60.918743,0.5826507,0.4765625,1.8250937461853027,3.6681400299072267
5,50000,31.978463232922238,-63.651443,9.920702e-07,-3.410345,3.714281,5.8264065,463.42105,177.26373,10.934625,98.9953,100.42036,101.533104,98.85785,27.405502,0.7,-99.87226,-91.36095,0.004055498,-9.413152,-5.835883,-5.019785,-6.2250457,-9.632434,1.2777745e-07,0.3,-1.3030791,62.623768,62.61876,62.583,62.525635,1.0857584,0.5109375,2.3217005729675293,4.277182734012603
6,60000,33.8965528261092,-68.00586,6.6190346e-08,-5.053072,3.178442,4.1620817,439.85855,48.706036,8.493429,102.97947,102.035225,103.131134,101.61815,38.429714,0.7,-103.17419,-137.00696,0.0051682633,-10.204706,-7.905204,-8.55396,-9.860916,-5.9671397,3.4385114e-06,0.3,-1.112056,66.91047,66.85765,66.68378,67.16905,0.8270625,0.3984375,2.448317289352417,4.885265743732452
7,70000,48.8828175186652,-64.05055,4.7458077e-09,-19.47942,28.933876,0.021356314,309.58743,6398.0684,9.513976,100.68546,101.24192,100.094795,99.880035,61.291824,0.7,-101.5946,-167.10423,0.006583258,-10.581313,-0.498346,0.15241241,0.81328315,-0.12257977,1.18852775e-07,0.3,-1.6533856,62.853226,62.867073,62.500614,63.04654,1.1338788,0.47031248,3.33911395072937,5.510769641399383
8,80000,77.44448708579198,-66.441765,3.7679213e-10,-5.707221,7.625675,-0.26112953,549.66644,353.81604,10.591888,98.2202,98.57607,98.941696,98.53555,34.098854,0.7,-99.05626,-149.50006,4.2372616e-05,-9.622985,1.2632385,0.29511106,0.58559847,1.15415,2.0905165e-06,0.3,-1.1603799,65.105606,65.07635,65.49286,65.70924,0.9602443,0.45624998,5.655246734619141,6.176547884941101
9,90000,92.65859775742976,-66.302505,3.136796e-11,-10.185517,3.7033973,-0.835459,1001.81433,193.00998,6.0001583,99.58308,100.17963,99.37786,99.19311,63.789143,0.7,-100.26186,-187.15579,0.008785433,-12.828151,0.215554,0.33260074,-1.1278267,-5.2804966,6.669271e-06,0.3,-1.4398707,65.22129,65.15991,65.07627,65.34056,1.5684772,0.446875,6.651119709014893,6.85300448735555
10,100000,52.8290030020621,-67.35996,3.278885e-12,6.398987,2.3510537,-2.204134,659.14056,62.371033,8.333344,100.528984,100.39099,100.44754,100.65314,38.20847,0.7,-101.156,-219.98396,0.0069764825,-9.837118,2.8288035,2.8688545,0.9646572,3.6253204,2.60807e-06,0.3,-1.512678,65.69234,65.77289,65.754486,66.20528,1.1207017,0.4421875,3.6246378421783447,7.485357928276062
11,110000,79.26762685303312,-65.7954,3.763606e-13,-10.627129,3.32101,7.1922917,749.5428,69.348785,10.253527,101.70337,102.11549,101.56093,101.0419,60.18993,0.7,-103.207085,-257.3116,4.7986396e-05,-16.574648,-4.059417,-5.7116966,-3.6530795,-5.822974,7.153358e-05,0.3,-1.4790912,64.53717,64.59575,64.909134,64.68498,1.4382848,0.5140625,5.870065212249756,8.15282347202301
12,120000,99.20826105903069,-64.66915,5.3351597e-14,-11.493486,5.4285984,-2.0307364,788.0161,375.02008,24.247622,100.386444,100.37189,100.2131,100.397285,51.29474,0.7,-102.40127,-256.67175,0.0006218648,-11.624812,-2.7742662,-3.6930435,-7.5094023,-1.9313673,3.3347578e-06,0.3,-1.2680058,63.478912,63.45457,63.30909,63.497982,1.0387199,0.4671875,7.204010486602783,8.839976632595063
13,130000,73.44630111147895,-69.86188,1.2202029e-14,-16.753113,3.7404375,-6.7755985,617.2246,137.31696,8.257641,102.09836,101.63603,102.51354,102.75903,63.649857,0.7,-102.180786,-332.21268,0.003573785,-33.714367,7.0100474,7.8236537,5.3191137,8.808107,6.479005e-05,0.3,-1.8220961,68.58817,68.53284,68.99416,69.392975,1.7658731,0.384375,5.128017902374268,9.496705122788747
14,140000,81.08470502405213,-67.827644,4.002186e-15,4.2215977,4.8424315,-2.1060667,1320.6715,152.69568,6.988058,101.341446,101.05901,100.84387,100.626434,80.18552,0.7,-101.933685,-312.82846,0.0058317175,-9.713138,-5.466177,-4.1615777,-0.44695,-2.0430517,2.229761e-07,0.3,-1.6450924,66.4115,66.30105,65.98984,66.481705,1.2080134,0.4515625,5.868722200393677,10.163305242856344
