,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.2559897121131804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-0.4376502724593103,-23.105085,0.07379244,-5.024644,1.5272329,6.4960737,21.623405,35.940063,11.471848,39.60411,39.43842,38.60997,38.716267,1.4677545,0.7,-39.980618,-29.930126,0.0005643876,-225.182,-6.8485465,-6.5473723,-6.5953097,-6.193737,1.8959308e-06,0.3,-10.27666,22.891026,22.853622,22.75181,22.52546,0.10315882,0.4421875,5.535208463668823,1.9374008297920227
2,20000,2.3309436469983886,-38.38063,0.073420875,0.046993673,3.1431415,6.08917,34.656967,140.51208,11.721867,61.630417,62.271214,62.23625,62.36814,1.8822769,0.7,-62.198982,-29.347826,0.0061654528,-386.79407,-5.360112,-5.1940293,-6.116018,-5.4454145,2.3603986e-06,0.3,-10.800222,38.040024,38.144676,38.016323,37.82495,0.169214,0.4578125,5.557029485702515,2.603513248761495
3,30000,15.54501948629442,-45.551674,0.07337462,-0.33696964,3.8015175,16.006588,28.3767,119.57123,13.524805,71.99454,71.805145,73.16128,71.761185,3.97213,0.7,-71.2836,-31.06899,4.237832e-05,-226.18744,-14.528831,-15.867856,-14.004017,-15.129023,4.5726483e-06,0.3,-10.641951,45.358467,45.27476,45.31026,45.13965,0.2894446,0.47031248,5.48382568359375,3.2724757234255475
4,40000,29.360265567013972,-52.988037,0.07457212,0.20856863,3.051791,9.611046,32.510223,45.0159,14.335999,78.715004,78.328156,78.039,78.356636,8.3933325,0.7,-78.69614,-32.794815,0.002038991,-168.77449,-9.632791,-10.891994,-12.115449,-11.530198,5.9148997e-06,0.3,-8.675402,52.87344,52.821007,52.95124,52.6079,0.33603913,0.48749998,5.5291712284088135,3.9432508826255797
5,50000,40.11319530368247,-58.897263,0.07458423,0.50884384,3.0226016,17.385193,27.912039,117.64938,12.977825,86.44172,85.86978,85.8021,86.25202,10.060308,0.7,-86.67339,-33.748695,0.00040482,-217.71179,-17.642813,-17.216625,-18.604183,-18.49194,6.265007e-07,0.3,-11.723943,58.675423,58.598564,58.38281,58.39614,0.39883888,0.49062496,5.421320199966431,4.612848035494486
6,60000,45.218789459445325,-62.54927,0.072364844,2.174674,7.924762,18.080105,28.57589,679.9595,14.705357,85.862305,85.75427,85.33914,85.54095,11.175131,0.7,-86.97693,-31.551603,0.0014334233,-731.3938,-18.381351,-18.179623,-19.719,-18.107307,3.0950353e-06,0.3,-17.973373,62.31095,62.31012,61.786514,62.232456,0.4136607,0.44062498,5.451111555099487,5.282368485132853
7,70000,47.728164772879104,-61.729233,0.06873999,0.5069692,3.762815,15.883165,29.585812,199.26495,12.895854,87.98108,87.747696,86.71658,87.40023,12.534401,0.7,-87.07714,-27.905142,0.007296076,-205.60083,-16.596905,-15.773468,-16.488358,-16.167528,3.7550925e-07,0.3,-14.916084,61.49137,61.486732,61.355267,61.366707,0.42609397,0.46718746,5.3650572299957275,5.948339474201203
8,80000,46.286966529273755,-62.60047,0.06736759,0.08131713,3.7947097,11.01406,26.39759,160.45653,14.447154,87.28454,87.21164,87.36012,87.74769,12.444861,0.7,-86.48582,-31.586187,0.003235373,-520.6056,-12.796341,-11.563776,-11.517451,-10.759459,5.867332e-09,0.3,-21.133644,62.24301,62.108116,62.429943,62.59108,0.42439222,0.4203125,5.460964918136597,6.617082579930623
9,90000,50.884696828039786,-60.49514,0.06660423,-0.45054212,3.2946777,14.415765,45.100765,80.99722,13.332232,87.630585,87.77578,86.39578,86.5206,6.654656,0.7,-86.552475,-40.360374,0.0046323743,-304.16595,-14.816931,-14.169154,-16.128695,-15.466909,2.229761e-07,0.3,-16.992058,60.266808,60.257202,60.019554,60.082256,0.3489102,0.48437497,5.415000915527344,7.2879670063654585
10,100000,51.35869131166327,-61.149117,0.063975796,-0.9570472,4.8032475,6.766472,41.338467,469.12604,9.620094,87.61995,87.989044,88.02547,87.47393,14.519418,0.7,-87.72011,-36.619686,0.0016157117,-448.3134,-9.83597,-9.464848,-10.197704,-9.589239,3.6950226e-08,0.3,-23.888727,60.70057,60.58294,60.544514,60.55844,0.45649976,0.40781248,5.552612066268921,7.960898784796397
