,epoch,train_loss,mse_loss,var_loss,val_loss
0,0,-34.25170920798497,0.06567075434931424,-5.911161046197511,0.032179322
1,1,-45.010197866530646,0.018092753427097378,-7.298752402296718,0.022169732
2,2,-48.181651065068216,0.01263623576086809,-7.6850050357064355,0.014054411
3,3,-50.011183054550834,0.010295198509285486,-7.919791751519987,0.011725599
4,4,-51.258786766178616,0.009035735879880116,-8.07979194816842,0.010362631
5,5,-52.187089982240096,0.008046890954717447,-8.197766208500596,0.00940933
6,6,-52.89921979726471,0.007429698420212244,-8.288358587902772,0.008550804
7,7,-53.47880919576925,0.006996972008784712,-8.361964207381689,0.008027079
8,8,-54.00449769788154,0.006563367154574558,-8.42805376358901,0.0075806505
9,9,-54.42295219883415,0.006236775316971433,-8.481069238289543,0.007416011
10,10,-54.773763784957474,0.005995639840403175,-8.524412802287511,0.006984397
11,11,-55.117686035717,0.0057421194390185545,-8.567490857333624,0.006841255
12,12,-55.41081435635964,0.005516464115789557,-8.603762918130705,0.0065129297
13,13,-55.67961629527943,0.005327434135011858,-8.636563726340269,0.006305038
14,14,-55.933753086666634,0.005161453634329375,-8.668020683539334,0.0060230615
15,15,-56.161129364068955,0.005027589094502115,-8.695469056103788,0.0058968496
16,16,-56.34393884725946,0.004888561576487704,-8.718206214608614,0.005789263
17,17,-56.542459100916766,0.00476362126133179,-8.741978717886884,0.0056958166
18,18,-56.72922719635579,0.004652468720511254,-8.764770680085967,0.0053260457
19,19,-56.883857993605716,0.004571980446062242,-8.783375304184592,0.0052330336
20,20,-57.045502071301634,0.004447607462900338,-8.802622023082915,0.005364222
21,21,-57.20109457801835,0.0043625820272189504,-8.821235443741145,0.0052563013
22,22,-57.31316269801517,0.004274710434258532,-8.834657211234605,0.004983751
23,23,-57.451463646029836,0.004202540769802376,-8.85084060926615,0.005112419
24,24,-57.599594184330535,0.004142117454582636,-8.868231962679829,0.0047206217
25,25,-57.70998121147077,0.004061736149605417,-8.881625284072529,0.008774202
26,26,-57.78029196800406,0.004028205038735249,-8.890259934508283,0.0045772963
27,27,-57.925537739234436,0.003968940971141554,-8.90658746545606,0.004679786
28,28,-58.05499370547309,0.0038816405491089723,-8.921430799284831,0.0046685366
29,29,-58.145421724141755,0.003797355816758857,-8.931928820491578,0.004347368
30,30,-58.24884048604077,0.003742283516079978,-8.94394630329456,0.0044010524
31,31,-58.356127777455015,0.003689629405432749,-8.956380443543381,0.0042621186
32,32,-58.41092402693154,0.0036693316338175046,-8.962414299232373,0.0041090185
33,33,-58.53063758411763,0.0036304496392230725,-8.976190739290068,0.004133011
34,34,-58.60680862983561,0.0036932819482063447,-8.984571563284343,0.004003624
35,35,-58.6943361764122,0.003536007610510256,-8.994320267969531,0.004218387
36,36,-58.76210616982502,0.0034838105078524376,-9.002411590599866,0.003967217
37,37,-58.86291037632565,0.0034429286042911406,-9.01315831002735,0.0040100813
38,38,-58.91862672406941,0.0034050711500928418,-9.019974862319836,0.004013426
39,39,-58.99006269486548,0.0033614949692488023,-9.02735399879037,0.003881482
40,40,-59.060047716334246,0.003324018409051479,-9.035195221071659,0.004048383
41,41,-59.10354088749698,0.0032932587012474562,-9.039838636143607,0.0037821378
42,42,-59.176366497024,0.0032623579087086296,-9.048077329838991,0.0038910906
43,43,-59.167597167486974,0.0033203788676759998,-9.04611329262301,0.004455307
44,44,-59.237738511577156,0.003250887692246999,-9.05452076914888,0.0038863535
45,45,-59.33306492337529,0.003203300627355327,-9.064343256486376,0.0036290204
46,46,-59.362909122530226,0.00317431799946912,-9.067559518182254,0.003640722
47,47,-59.462726032264975,0.003100953150603739,-9.078491755153822,0.0035178796
48,48,-59.487756911765466,0.0030888480870460504,-9.080777167039875,0.0035105082
49,49,-59.49558736275935,0.0030954414813520914,-9.080842068723516,0.0034319013
50,50,-59.57068485453509,0.0030542377710432067,-9.089656405814193,0.0035595377
51,51,-59.585102194831485,0.0030609312227818206,-9.090437019340246,0.003561622
52,52,-59.636592560920164,0.003027304851730339,-9.095924809112311,0.0034300128
53,53,-59.72107804537313,0.0029537316426074644,-9.104999268770712,0.003589824
54,54,-59.786789462679906,0.002932335326484719,-9.111957627794016,0.003980703
55,55,-59.77483928771246,0.0029660618926545964,-9.110453089325077,0.0034806023
56,56,-59.802265401212324,0.0030070276379040068,-9.112614931773942,0.003264296
57,57,-59.82212631154505,0.0030193067292921924,-9.114960042092617,0.003344852
58,58,-59.865391311684995,0.0029002041711101278,-9.119052700374437,0.0033450664
59,59,-59.94622912910414,0.0028435608201144904,-9.127987811777656,0.00330872
60,60,-59.99152346427396,0.0028379449265812356,-9.132777383608847,0.0031946776
61,61,-60.00399484200014,0.002799152567265382,-9.133885193068542,0.0032022323
62,62,-60.034712946439626,0.0028275446348963885,-9.136693191824492,0.0035039096
63,63,-60.04734159947429,0.0028385703829618453,-9.138016837230627,0.003228815
64,64,-60.10400187154735,0.002788384343148209,-9.144083509040422,0.0030935796
65,65,-59.858573245212405,0.0028814151695727972,-9.118594296477102,0.0030855557
66,66,-60.1291026220065,0.0027580822873537626,-9.146315004267802,0.0031590508
67,67,-60.160380540180405,0.002728229686020108,-9.149333084098547,0.0032639774
68,68,-60.2182110683765,0.0027139673387201785,-9.15489103359712,0.0032585948
69,69,-60.23855143304197,0.002843848126711455,-9.157257821989356,0.0031235977
70,70,-60.25586254108026,0.0027108710477869538,-9.158340997330644,0.0031988856
71,71,-60.30570520179859,0.002660619180893437,-9.164001328110942,0.00306692
72,72,-60.26628832392564,0.002712851040996611,-9.159150935107876,0.0029867643
73,73,-60.35812039898543,0.0026351221790766213,-9.168874366189629,0.0031157446
74,74,-60.391250332936984,0.002628637117633305,-9.171790217760927,0.0029290118
75,75,-60.39481266388982,0.0026186176877423992,-9.173021744743885,0.0031585654
76,76,-60.3911249326623,0.0026240854139459526,-9.172084717523484,0.0028482066
77,77,-60.45275419247076,0.002575480653360866,-9.178459732675652,0.0029356305
78,78,-60.437258385723425,0.0026403545717372293,-9.17657284731697,0.0029732634
79,79,-60.49571277784265,0.002578907909438662,-9.182479488923683,0.003015612
80,80,-60.50084879580985,0.002547202868789375,-9.182870053603288,0.0028759195
81,81,-60.52483919688633,0.002541144251914774,-9.185498124570827,0.002814109
82,82,-60.52886132325198,0.002554589697777093,-9.185480552183668,0.0027799872
83,83,-60.46423515671282,0.002600675332420226,-9.178244523133303,0.0029004787
84,84,-60.58026543315153,0.002508999207143828,-9.190583873732983,0.0028848448
85,85,-60.6225799240681,0.002471415924797014,-9.194765381437898,0.0026876966
86,86,-60.50944373622444,0.0025716180952377213,-9.18242849943307,0.002963434
