,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.092772407276776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,8.152330266817273,-22.558952,0.058646232,-15.639492,-0.001697623,1.4264389,1.0,1.7440779,1.7739608,12.931496,36.787865,13.492485,48.093597,47.567635,47.950954,46.524876,2.4146094,0.7,-46.665028,-36.31232,0.00094174326,-8.73171,-3.331476,-2.5365653,-2.5209541,-1.3034668,9.7890736e-09,0.3,0.61347187,22.274721,22.280975,22.354506,22.090696,0.09188353,0.46875,1.4397332668304443,2.60821350812912
2,20000,1.2341781842994308,-38.990532,0.0035825379,-15.824833,-0.001197006,2.6961944,1.0,11.813009,3.1074977,59.87138,2094.5957,15.232553,70.83971,70.34133,71.77639,70.59349,17.093395,0.7,-71.2733,-69.98324,0.00025175494,-20.295029,-6.478005,-6.600136,-5.2348948,-6.976697,3.5699456e-06,0.3,0.9806942,38.302692,38.30454,38.39116,38.185696,0.26931787,0.41875,0.8012220859527588,3.528698416550954
3,30000,1.8092258481624273,-44.41891,0.0001951535,-18.648666,-0.0033425489,4.0780396,1.0,5.4757385,13.597063,164.93138,146.85524,17.349092,87.23534,87.13062,88.60841,87.9722,16.818718,0.7,-90.56555,-114.25545,0.00078259653,-15.56117,-13.834454,-14.061977,-12.255167,-12.803569,7.710041e-06,0.3,0.1487216,43.683437,43.633495,44.1164,44.05584,0.42720082,0.39374998,0.9648735523223877,4.45000479221344
4,40000,20.59304252242538,-49.81795,1.04178625e-05,-25.658527,0.0007011693,4.9503098,1.0,5.3513308,1.4908372,268.66302,134.22604,17.185188,91.86152,91.80367,92.7117,92.34991,8.467126,0.7,-94.67886,-161.0273,0.0018812437,-14.195248,-1.9864846,-0.7163175,-1.1652195,1.0113283,1.0105013e-05,0.3,0.21822277,48.933155,48.963028,49.708374,49.48095,0.48133913,0.37812498,2.5192933082580566,5.399077912171681
5,50000,17.958708848114988,-55.946865,5.536334e-07,-25.316784,-0.004952491,5.2565775,1.0,3.9127648,-3.5703568,390.4524,129.17603,17.137672,103.234344,103.920395,102.947624,102.40071,8.922956,0.7,-104.34203,-184.57487,0.005067203,-13.047055,0.66204333,0.16108221,0.46785095,-0.35946262,4.0737623e-06,0.3,0.68981874,54.966614,54.95473,55.033424,55.16639,0.63472235,0.39218748,2.4339256286621094,6.346108448505402
6,60000,6.49370537621486,-59.417862,2.9383108e-08,-21.187923,-0.0050282516,6.0742927,1.0,4.578454,0.6067202,579.50543,144.44891,21.1777,97.649475,97.522606,98.319534,98.77579,48.0982,0.7,-99.43476,-189.50282,0.008796357,-13.633419,-0.67559445,-0.97574496,-0.8931647,-0.976248,7.2872967e-06,0.3,0.852756,58.34835,58.154285,58.43367,58.523804,0.8096998,0.41718748,1.2131907939910889,7.2719049970308935
7,70000,42.58230308854106,-57.268654,1.5703865e-09,-37.083946,-0.0016696248,5.7673187,1.0,4.1829963,8.747919,572.73126,105.06714,18.309372,101.34864,101.74474,102.21996,102.42323,15.658804,0.7,-103.63866,-272.4252,0.004780582,-9.888402,-11.816151,-12.998023,-9.233516,-10.525675,9.077415e-06,0.3,1.089165,56.447372,56.250496,56.72589,56.655968,0.46579,0.4375,4.385636806488037,8.255961223443348
8,80000,39.85006676787087,-59.332855,8.362318e-11,-17.942944,-0.0044051246,6.5343566,1.0,5.913759,-5.866994,916.3494,141.112,24.078323,103.610054,104.02912,103.29529,102.14445,15.878686,0.7,-106.2352,-388.32385,0.00032751355,-14.617754,0.6676862,1.8376672,-1.1342429,2.8206465,1.0481745e-08,0.3,0.43542027,58.114048,58.302315,57.995667,58.29028,0.57565475,0.421875,4.024551868438721,9.232893375555674
9,90000,40.30752404208867,-58.265778,4.5262205e-12,-46.483147,-0.010545872,6.444945,1.0,4.7816772,-1.4004452,398.80136,349.79407,17.223259,102.06806,102.24833,101.918785,102.0857,19.24783,0.7,-104.878975,-318.5903,0.00015292113,-12.979882,-0.56621814,-0.62406415,0.3425652,-0.6923286,1.2542122e-06,0.3,0.21165627,57.190575,57.233227,57.01794,57.028202,0.53249425,0.39999998,4.00266432762146,10.20274475812912
10,100000,36.359502498698276,-58.880226,2.4549506e-13,-37.66906,-0.0056164856,6.1391077,1.0,4.1548653,4.691455,843.0154,85.47154,18.561893,105.23483,104.83453,104.54507,104.71642,34.046986,0.7,-106.84256,-332.34308,0.00074039446,-18.012978,-1.6864498,-2.442254,-6.5060186,-2.0589023,2.6077032e-09,0.3,0.4153863,57.91534,57.883045,57.74369,57.88688,0.5437572,0.4421875,3.816847324371338,11.175416513284047
11,110000,67.34723737660346,-54.83409,1.3231845e-14,-60.08177,0.0027770402,6.7978554,1.0,6.642519,4.3453445,949.1402,207.27876,23.443226,107.48092,108.010155,107.55894,106.43707,14.683687,0.7,-110.97306,-410.21036,0.00040750817,-26.021336,-3.5630732,-4.8762155,-5.728034,-5.62349,3.3741233e-07,0.3,0.048628524,54.00762,53.904266,53.738194,53.857903,0.720826,0.48125,6.101954936981201,12.185763021310171
12,120000,49.17277022800731,-61.61203,7.1353727e-16,-78.44368,-0.011900785,6.80058,1.0,3.355075,3.1535096,919.2682,81.39783,16.33102,103.790535,102.67472,103.04686,104.02808,13.209802,0.7,-105.2383,-477.00235,0.0036868309,-17.748129,-5.611233,-5.009745,-5.1323743,-5.9227176,2.5990887e-05,0.3,0.22793093,60.384,60.534134,60.407715,60.70437,0.4844799,0.42343748,4.549081802368164,13.164843841393788
