,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,4.196876209639911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.7743441184141535,-39.468666,0.058016364,-7.4927607,0.32388526,-1.1573833,19.780077,8.97374,3.7950237,50.81698,51.03767,50.58609,49.85847,0.65836513,0.7,-50.969883,-21.085066,0.00072560285,-119.13082,1.0525376,1.2213713,0.88180625,1.2297454,9.1174593e-07,0.3,-11.025932,39.023567,39.028614,39.054596,38.44616,0.027637143,0.5171875,0.05430316925048828,1.2791190187136332
2,20000,0.7862266549003261,-62.97294,0.036139734,0.2704928,0.5590918,-4.763974,41.87136,20.25031,6.174243,75.72248,75.3729,75.66713,75.09054,7.341227,0.7,-76.16126,-27.156496,0.00013673195,-160.83136,7.669646,7.7488327,7.5108595,6.4832873,1.3985381e-06,0.3,-24.707317,61.992355,62.063137,62.12523,61.77778,0.12524256,0.49843746,0.06313753128051758,1.6015918572743735
3,30000,0.8112543582576395,-76.03763,0.0381353,-0.59661067,1.5546916,1.0085988,45.26797,57.428665,2.6698697,92.47938,92.39857,92.33343,92.2284,3.0176976,0.7,-92.46703,-28.017775,0.0041840337,-150.08495,-0.7285713,1.5811201,0.37115848,-0.112862274,1.4685794e-06,0.3,-18.476439,75.288864,75.30504,75.265396,75.20451,0.11939428,0.39218748,0.07651638984680176,1.9239768902460734
4,40000,0.9113487918979454,-84.530945,0.042083226,0.1598269,0.9247104,-4.718126,91.84804,54.91339,5.6997094,100.135376,100.166016,99.5822,99.63299,8.207869,0.7,-102.302704,-20.164532,0.0029478362,-238.2199,4.6075625,5.9109387,1.3828356,3.7711422,5.020236e-07,0.3,-18.25067,83.47717,83.63446,83.20736,83.35437,0.14902164,0.45,0.08760738372802734,2.2435464382171633
5,50000,0.8191390761904477,-89.98692,0.0430826,0.9117134,1.2146208,-1.1774778,49.763535,40.34892,3.7993758,106.91761,106.8653,107.14073,106.411,11.897172,0.7,-106.60709,-21.419624,0.0013126554,-347.0542,0.4757047,0.18083853,0.91531515,0.5147233,3.9156294e-08,0.3,-17.22045,89.11015,89.032074,89.398026,88.90614,0.2900239,0.5328125,0.063812255859375,2.562244240442912
6,60000,0.8698765342836414,-93.638,0.04472415,-0.2269231,0.738018,-5.3509603,36.065132,16.135963,8.527521,111.88593,112.25767,112.29461,111.50091,7.5905147,0.7,-112.01959,-22.218443,0.00017290586,-120.42857,5.605317,5.7823215,4.9628725,5.1627984,4.0745363e-07,0.3,-16.287539,92.797,92.808365,92.51203,92.374084,0.16436999,0.559375,0.07415890693664551,2.880540843804677
7,70000,0.8460966036915228,-94.37512,0.048357286,0.28088066,1.1683745,0.19374235,52.87815,16.808216,7.2048674,113.89127,114.09092,114.44462,113.88383,7.725308,0.7,-114.10003,-24.02646,0.0013048167,-308.3868,-1.2724869,-0.9028883,1.0062715,-0.85164857,2.1515298e-07,0.3,-19.974854,93.143105,93.14671,93.42541,93.3329,0.24595335,0.47812498,0.06346321105957031,3.203228815396627
8,80000,0.8303837762274998,-94.86412,0.04913204,-1.0385284,1.1194994,-1.029529,65.05113,47.30777,5.019008,113.30304,113.007034,112.71257,112.962166,2.3528037,0.7,-113.41298,-30.831547,0.00087492005,-231.10678,0.62223244,1.0065728,1.0126592,0.43600783,6.1820906e-06,0.3,-16.626146,93.715195,93.70426,94.01631,93.81496,0.11921749,0.4921875,0.06026482582092285,3.52366730372111
9,90000,0.8475224707594037,-99.019684,0.04814642,-1.4762012,0.95326304,-11.037678,53.965843,33.05801,5.9828157,114.33088,114.54775,114.082695,114.40004,10.488834,0.7,-115.190796,-24.622065,0.00011835084,-220.52965,11.099459,10.780048,10.41801,11.015576,5.8527044e-06,0.3,-17.533037,98.22397,98.14434,98.24841,98.473724,0.24466154,0.36874998,0.06636452674865723,3.8397434751192727
