,epoch,train_loss,mse_loss,var_loss,val_loss
0,0,-43.70671829431979,0.038323227582198895,-7.078687954459035,0.028679695
1,1,-52.74030939179098,0.018945854855520746,-8.272802155044975,0.018494664
2,2,-55.66691030095011,0.01676441333407147,-8.63084333241294,0.022249172
3,3,-56.67181136319655,0.017567933666874484,-8.74406570954308,0.018080235
4,4,-56.99659459716655,0.018003369503061747,-8.816650415033934,0.020401975
5,5,-58.34242291632951,0.016485226604843854,-8.948394298306912,0.016038058
6,6,-58.14978901923258,0.018469777422684564,-8.929955285485553,0.020422546
7,7,-58.83857957826159,0.019160728192508497,-9.002775238119952,0.023584729
8,8,-58.3228672194259,0.017845273465636854,-8.96893875502751,0.023280615
9,9,-58.77979866055446,0.019204206680456436,-8.984291166159581,0.01659874
10,10,-59.747457939195286,0.01657564904007578,-9.11309358449855,0.05126988
11,11,-58.79708534386683,0.019522213165205495,-9.013891214915121,0.019498346
12,12,-59.04031039023966,0.018748632899216824,-9.035710402580428,0.03533018
13,13,-59.87440751281864,0.017984843372442928,-9.117654901009434,0.02220979
14,14,-60.01246348384001,0.01698801276597147,-9.115734597396456,0.017092993
15,15,-59.60730596251917,0.02466338994525635,-9.124273163579488,0.03310052
16,16,-60.30643945987863,0.016677955549934807,-9.181616181794713,0.059756428
17,17,-59.20149776730937,0.021263616624316674,-9.045550454858663,0.028377077
18,18,-60.02318251515125,0.017429710880190137,-9.12322170288141,0.028281352
19,19,-60.14398141533537,0.018002853081624227,-9.145859387199536,0.024151469
20,20,-60.567454625063625,0.01798661941368202,-9.200951314391617,0.024712924
